epoch 366 loss: 0.16864984408020972, elapse time: 5.771196126937866
epoch 367 loss: 0.16835520789027214, elapse time: 5.744969606399536
epoch 368 loss: 0.17151226997375488, elapse time: 5.778265953063965
epoch 369 loss: 0.17043539881706238, elapse time: 5.767534494400024
epoch 370 loss: 0.1766422875225544, elapse time: 5.7640440464019775
epoch 371 loss: 0.17578751519322394, elapse time: 5.769434690475464
epoch 372 loss: 0.1714157998561859, elapse time: 5.777918815612793
epoch 373 loss: 0.17110270112752915, elapse time: 5.743762254714966
epoch 374 loss: 0.17466296777129173, elapse time: 5.775645017623901
epoch 375 loss: 0.16801120787858964, elapse time: 5.7415735721588135
epoch 376 loss: 0.16806911826133727, elapse time: 5.770837068557739
epoch 377 loss: 0.17304623425006865, elapse time: 5.780303716659546
epoch 378 loss: 0.17449316903948783, elapse time: 5.754383563995361
epoch 379 loss: 0.17175951227545738, elapse time: 5.768986463546753
epoch 380 loss: 0.16851916238665582, elapse time: 5.766773223876953
epoch 381 loss: 0.1675679177045822, elapse time: 5.7640416622161865
epoch 382 loss: 0.16999333575367928, elapse time: 5.760292291641235
epoch 383 loss: 0.1737727090716362, elapse time: 5.764137029647827
epoch 384 loss: 0.1703808680176735, elapse time: 5.786456346511841
epoch 385 loss: 0.16601308435201645, elapse time: 5.765551805496216
epoch 386 loss: 0.16897804513573647, elapse time: 5.756184339523315
epoch 387 loss: 0.17328289598226548, elapse time: 5.776282787322998
epoch 388 loss: 0.16694612950086593, elapse time: 5.777942895889282
epoch 389 loss: 0.1661064051091671, elapse time: 5.75383734703064
epoch 390 loss: 0.16602969616651536, elapse time: 5.7671380043029785
epoch 391 loss: 0.1694631777703762, elapse time: 5.767923593521118
epoch 392 loss: 0.17068253308534623, elapse time: 5.774139642715454
epoch 393 loss: 0.16885225623846054, elapse time: 5.7506444454193115
epoch 394 loss: 0.16723510771989822, elapse time: 5.767683029174805
epoch 395 loss: 0.16786693781614304, elapse time: 5.758399724960327
epoch 396 loss: 0.16659827381372452, elapse time: 5.775780916213989
epoch 397 loss: 0.16550131738185883, elapse time: 5.765173673629761
epoch 398 loss: 0.17126578018069266, elapse time: 5.772194862365723
epoch 399 loss: 0.16877133026719093, elapse time: 5.765925884246826
epoch 400 loss: 0.1673862889409065, elapse time: 5.76349949836731
epoch 401 loss: 0.16715628951787947, elapse time: 5.771811246871948
epoch 402 loss: 0.16949656158685683, elapse time: 5.764927387237549
epoch 403 loss: 0.16980696767568587, elapse time: 5.751523971557617
epoch 404 loss: 0.16745288893580437, elapse time: 5.788470983505249
epoch 405 loss: 0.1704329162836075, elapse time: 5.776207685470581
epoch 406 loss: 0.16943025290966035, elapse time: 5.769298315048218
epoch 407 loss: 0.168946672976017, elapse time: 5.766160726547241
epoch 408 loss: 0.1689884550869465, elapse time: 5.7773659229278564
epoch 409 loss: 0.16999000832438468, elapse time: 5.771123886108398
epoch 410 loss: 0.17344148680567742, elapse time: 5.77197790145874
epoch 411 loss: 0.1696302577853203, elapse time: 5.756071329116821
epoch 412 loss: 0.1682803064584732, elapse time: 5.769044637680054
epoch 413 loss: 0.1683892324566841, elapse time: 5.776357889175415
epoch 414 loss: 0.16388456374406815, elapse time: 5.7551820278167725
epoch 415 loss: 0.1672251582145691, elapse time: 5.771811008453369
epoch 416 loss: 0.16749371960759163, elapse time: 5.771751642227173
epoch 417 loss: 0.16786297857761384, elapse time: 5.756872892379761
epoch 418 loss: 0.16741837784647942, elapse time: 5.7699384689331055
epoch 419 loss: 0.16569155529141427, elapse time: 5.774373292922974
epoch 420 loss: 0.16780520156025885, elapse time: 5.753764390945435
epoch 421 loss: 0.17205124497413635, elapse time: 5.775144338607788
epoch 422 loss: 0.16886595711112024, elapse time: 5.774901628494263
epoch 423 loss: 0.1668839141726494, elapse time: 5.751080751419067
