imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
15_24_Emiliano Zapata_Ciudad de México_bloque_23_x0_y256.tiff,model_final.pth,2523,16384,15.3992
15_24_Emiliano Zapata_Ciudad de México_bloque_28_x320_y256.tiff,model_final.pth,3228,16384,19.7021
15_24_Emiliano Zapata_Ciudad de México_bloque_46_x640_y320.tiff,model_final.pth,304,16384,1.8555
15_24_Emiliano Zapata_Ciudad de México_bloque_48_x0_y384.tiff,model_final.pth,484,16384,2.9541
15_24_Emiliano Zapata_Ciudad de México_bloque_55_x448_y384.tiff,model_final.pth,4142,16384,25.2808
15_24_Emiliano Zapata_Ciudad de México_bloque_59_x128_y448.tiff,model_final.pth,11513,16384,70.2698
15_24_Emiliano Zapata_Ciudad de México_bloque_64_x448_y448.tiff,model_final.pth,6123,16384,37.3718
15_24_Emiliano Zapata_Ciudad de México_bloque_68_x128_y512.tiff,model_final.pth,9437,16384,57.5989
15_24_Emiliano Zapata_Ciudad de México_bloque_70_x256_y512.tiff,model_final.pth,12531,16384,76.4832
15_24_Emiliano Zapata_Ciudad de México_bloque_73_x448_y512.tiff,model_final.pth,5145,16384,31.4026
15_24_Emiliano Zapata_Ciudad de México_bloque_74_x512_y512.tiff,model_final.pth,687,16384,4.1931
15_24_Emiliano Zapata_Ciudad de México_bloque_78_x256_y576.tiff,model_final.pth,10233,16384,62.4573
15_24_Emiliano Zapata_Ciudad de México_bloque_84_x256_y640.tiff,model_final.pth,4319,16384,26.3611
15_24_Emiliano Zapata_Ciudad de México_bloque_87_x128_y663.tiff,model_final.pth,1373,16384,8.3801
15_24_Emiliano Zapata_Ciudad de México_bloque_89_x256_y663.tiff,model_final.pth,2094,16384,12.7808
15_24_Emiliano Zapata_Ciudad de México_bloque_8_x512_y128.tiff,model_final.pth,490,16384,2.9907
15_24_Emiliano Zapata_Ciudad de México_bloque_9_x576_y128.tiff,model_final.pth,1884,16384,11.499
15_24_Jonuta_Campeche_bloque_14_x192_y192.tiff,model_final.pth,7992,16384,48.7793
15_24_Jonuta_Campeche_bloque_21_x0_y320.tiff,model_final.pth,4905,16384,29.9377
15_24_Jonuta_Campeche_bloque_29_x192_y384.tiff,model_final.pth,3857,16384,23.5413
15_24_Jonuta_Campeche_bloque_3_x128_y64.tiff,model_final.pth,2257,16384,13.7756
15_24_Jonuta_Campeche_bloque_5_x237_y64.tiff,model_final.pth,6449,16384,39.3616
15_24_Jonuta_Campeche_bloque_8_x128_y128.tiff,model_final.pth,2416,16384,14.7461
15_24_La Trinitaria_Chiapas_bloque_7_x64_y107.tiff,model_final.pth,2877,16384,17.5598
15_24_Venustiano Carranza_Chiapas_bloque_1_x64_y0.tiff,model_final.pth,432,16384,2.6367
15_Llano Grande_Chiapas_bloque_0_x0_y0.tiff,model_final.pth,3149,16384,19.22
15_Llano Grande_Chiapas_bloque_1_x64_y0.tiff,model_final.pth,3934,16384,24.0112
15_Michoacán_bloque_14_x128_y128.tiff,model_final.pth,4666,16384,28.479
15_Michoacán_bloque_15_x192_y128.tiff,model_final.pth,2830,16384,17.2729
15_Michoacán_bloque_18_x64_y192.tiff,model_final.pth,1317,16384,8.0383
15_Michoacán_bloque_2_x128_y0.tiff,model_final.pth,1622,16384,9.8999
15_Michoacán_bloque_7_x64_y64.tiff,model_final.pth,5444,16384,33.2275
15_Tuxpan de Bolaños_Nayarit_bloque_0_x0_y0.tiff,model_final.pth,323,16384,1.9714
15_Tuxpan de Bolaños_Nayarit_bloque_10_x170_y128.tiff,model_final.pth,294,16384,1.7944
15_Tuxpan de Bolaños_Nayarit_bloque_12_x64_y192.tiff,model_final.pth,1601,16384,9.7717
15_Tuxpan de Bolaños_Nayarit_bloque_16_x64_y256.tiff,model_final.pth,1295,16384,7.9041
15_Tuxpan de Bolaños_Nayarit_bloque_17_x128_y256.tiff,model_final.pth,123,16384,0.7507
15_Tuxpan de Bolaños_Nayarit_bloque_19_x0_y262.tiff,model_final.pth,2225,16384,13.5803
15_Tuxpan de Bolaños_Nayarit_bloque_20_x64_y262.tiff,model_final.pth,986,16384,6.0181
15_Xalisco_Nayarit_bloque_11_x1024_y1280.tiff,model_final.pth,671,16384,4.0955
15_Xalisco_Nayarit_bloque_3_x1152_y1152.tiff,model_final.pth,389,16384,2.3743
16_24_Emiliano Zapata2_Ciudad de México_bloque_2_x120_y0.tiff,model_final.pth,176,16384,1.0742
16_24_Emiliano Zapata2_Ciudad de México_bloque_5_x120_y64.tiff,model_final.pth,217,16384,1.3245
16_24_Emiliano Zapata_Ciudad de México_bloque_11_x64_y128.tiff,model_final.pth,4546,16384,27.7466
16_24_Emiliano Zapata_Ciudad de México_bloque_14_x218_y128.tiff,model_final.pth,5405,16384,32.9895
16_24_Emiliano Zapata_Ciudad de México_bloque_17_x128_y192.tiff,model_final.pth,7565,16384,46.1731
16_24_Emiliano Zapata_Ciudad de México_bloque_7_x128_y64.tiff,model_final.pth,4556,16384,27.8076
16_24_Emiliano Zapata_Ciudad de México_bloque_9_x218_y64.tiff,model_final.pth,4156,16384,25.3662
16_24_Huamuchil_Oaxaca_bloque_10_x128_y128.tiff,model_final.pth,4093,16384,24.9817
16_24_Huamuchil_Oaxaca_bloque_3_x149_y0.tiff,model_final.pth,1047,16384,6.3904
16_24_Huamuchil_Oaxaca_bloque_7_x149_y64.tiff,model_final.pth,1963,16384,11.9812
16_24_Huamuchil_Oaxaca_bloque_9_x64_y128.tiff,model_final.pth,4933,16384,30.1086
16_24_Las Choapas_Veracruz_bloque_14_x0_y208.tiff,model_final.pth,6198,16384,37.8296
16_24_Las Choapas_Veracruz_bloque_16_x128_y208.tiff,model_final.pth,4002,16384,24.4263
16_24_Las Choapas_Veracruz_bloque_17_x158_y208.tiff,model_final.pth,3419,16384,20.8679
16_24_Las Choapas_Veracruz_bloque_6_x0_y128.tiff,model_final.pth,2748,16384,16.7725
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_24_x0_y192.tiff,model_final.pth,97,16384,0.592
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_25_x64_y192.tiff,model_final.pth,326,16384,1.9897
