imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
16_González2_Tamaulipas_bloque_17_x128_y128.tiff,model_best.pth,8407,16384,51.3123
16_González2_Tamaulipas_bloque_24_x0_y192.tiff,model_best.pth,7179,16384,43.8171
16_González2_Tamaulipas_bloque_38_x448_y256.tiff,model_best.pth,8272,16384,50.4883
16_González2_Tamaulipas_bloque_39_x466_y256.tiff,model_best.pth,6778,16384,41.3696
16_González2_Tamaulipas_bloque_43_x448_y320.tiff,model_best.pth,6544,16384,39.9414
16_González2_Tamaulipas_bloque_47_x384_y384.tiff,model_best.pth,9726,16384,59.3628
16_González2_Tamaulipas_bloque_4_x384_y0.tiff,model_best.pth,4259,16384,25.9949
16_González2_Tamaulipas_bloque_50_x256_y402.tiff,model_best.pth,4935,16384,30.1208
16_González2_Tamaulipas_bloque_51_x320_y402.tiff,model_best.pth,10340,16384,63.1104
16_González_Tamaulipas_bloque_13_x363_y64.tiff,model_best.pth,7570,16384,46.2036
16_González_Tamaulipas_bloque_1_x64_y0.tiff,model_best.pth,4219,16384,25.7507
16_González_Tamaulipas_bloque_23_x128_y192.tiff,model_best.pth,9023,16384,55.072
16_González_Tamaulipas_bloque_25_x256_y192.tiff,model_best.pth,4296,16384,26.2207
16_González_Tamaulipas_bloque_28_x64_y256.tiff,model_best.pth,12213,16384,74.5422
16_González_Tamaulipas_bloque_29_x128_y256.tiff,model_best.pth,11000,16384,67.1387
16_González_Tamaulipas_bloque_2_x128_y0.tiff,model_best.pth,7065,16384,43.1213
16_González_Tamaulipas_bloque_3_x192_y0.tiff,model_best.pth,6900,16384,42.1143
16_González_Tamaulipas_bloque_6_x363_y0.tiff,model_best.pth,6751,16384,41.2048
16_González_Tamaulipas_bloque_8_x64_y64.tiff,model_best.pth,8774,16384,53.5522
16_Lomas del Real_Tamaulipas_bloque_0_x0_y0.tiff,model_best.pth,437,16384,2.6672
16_Lomas del Real_Tamaulipas_bloque_5_x72_y64.tiff,model_best.pth,1136,16384,6.9336
16_Nuevo Morelos_Tamaulipas2_bloque_14_x126_y213.tiff,model_best.pth,0,16384,0.0
16_Nuevo Morelos_Tamaulipas2_bloque_4_x64_y64.tiff,model_best.pth,134,16384,0.8179
16_Nuevo Morelos_Tamaulipas2_bloque_7_x64_y128.tiff,model_best.pth,0,16384,0.0
16_Nuevo Morelos_Tamaulipas3_bloque_0_x0_y0.tiff,model_best.pth,2578,16384,15.7349
16_Nuevo Morelos_Tamaulipas3_bloque_11_x118_y192.tiff,model_best.pth,2224,16384,13.5742
16_Nuevo Morelos_Tamaulipas3_bloque_12_x0_y229.tiff,model_best.pth,2004,16384,12.2314
16_Nuevo Morelos_Tamaulipas3_bloque_14_x118_y229.tiff,model_best.pth,1839,16384,11.2244
16_Nuevo Morelos_Tamaulipas3_bloque_6_x0_y128.tiff,model_best.pth,2140,16384,13.0615
16_Nuevo Morelos_Tamaulipas3_bloque_7_x64_y128.tiff,model_best.pth,2162,16384,13.1958
16_Nuevo Morelos_Tamaulipas_bloque_0_x0_y0.tiff,model_best.pth,1621,16384,9.8938
16_Nuevo Morelos_Tamaulipas_bloque_3_x0_y64.tiff,model_best.pth,2513,16384,15.3381
16_Oaxaca_Oaxaca_bloque_10_x64_y192.tiff,model_best.pth,245,16384,1.4954
16_Oaxaca_Oaxaca_bloque_16_x188_y256.tiff,model_best.pth,30,16384,0.1831
16_Oaxaca_Oaxaca_bloque_4_x128_y64.tiff,model_best.pth,373,16384,2.2766
16_Oaxaca_Oaxaca_bloque_5_x0_y128.tiff,model_best.pth,2757,16384,16.8274
16_Quimicho_Tlaxcala_bloque_10_x64_y141.tiff,model_best.pth,7479,16384,45.6482
16_Quimicho_Tlaxcala_bloque_2_x84_y0.tiff,model_best.pth,1299,16384,7.9285
16_Quimicho_Tlaxcala_bloque_9_x0_y141.tiff,model_best.pth,7512,16384,45.8496
16_San José de los Pozos_Jalisco_bloque_12_x320_y128.tiff,model_best.pth,1218,16384,7.4341
16_San José de los Pozos_Jalisco_bloque_19_x64_y256.tiff,model_best.pth,5957,16384,36.3586
